Symbol,Name,Last,Change,%Chg,IV Rank,Options Vol,% Put,% Call,Put/Call Vol,Time
FCX,Freeport-Mcmoran Inc,42.72,0.13,+0.31%,2.78%,65961,37.1%,62.9%,0.59045644154028,05/28/21
TWTR,Twitter Inc,58,-0.079999999999998,-0.14%,0.00%,63896,28.1%,71.9%,0.38991973200496,05/28/21
JD,Jd.com Inc Ads,73.94,1.11,+1.52%,0.00%,62775,31.1%,68.9%,0.45151220865705,05/28/21
MRNA,Moderna Inc,185.01,5.47,+3.05%,0.35%,62717,45.0%,55.0%,0.81830569407399,05/28/21
OCGN,Ocugen Inc,8.73,0.02,+0.23%,12.96%,61574,22.7%,77.3%,0.29329972694812,05/28/21
EXPR,Express Inc,4.29,-0.52,-10.81%,19.62%,61163,13.9%,86.1%,0.1614698063046,05/28/21
ZM,Zoom Video Communications Cl A,331.53,5.1,+1.56%,26.62%,60561,38.8%,61.2%,0.63303222327086,05/28/21
TME,Tencent Music Entertainment ADR,15.74,0.33,+2.14%,9.89%,60361,11.6%,88.4%,0.130864058753,05/28/21
VALE,Vale S.A.,21.52,0.38,+1.80%,5.47%,59047,24.4%,75.6%,0.32338966336456,05/28/21
ROKU,Roku Inc,346.71,-2.32,-0.66%,0.00%,58528,39.0%,61.0%,0.6396694214876,05/28/21
MU,Micron Technology,84.14,0.21,+0.25%,4.59%,57909,32.3%,67.7%,0.47655473112522,05/28/21
FCEL,Fuelcell Energy Inc,9.82,-0.02,-0.20%,14.63%,57432,16.4%,83.6%,0.19682413987122,05/28/21
ATVI,Activision Blizzard,97.25,0,0.00%,0.00%,55719,18.6%,81.4%,0.2282105541595,05/28/21
COTY,Coty Inc,8.91,0.02,+0.22%,8.05%,54785,3.0%,97.0%,0.031130601720276,05/28/21
RIDE,Lordstown Motors Corp,9.9,-0.65,-6.16%,49.49%,53831,41.1%,58.9%,0.69642632043363,05/28/21
SKLZ,Skillz Inc,16.99,-0.33,-1.91%,1.02%,53129,16.1%,83.9%,0.19163395760906,05/28/21
QCOM,Qualcomm Inc,134.54,0.9,+0.67%,0.00%,51441,41.4%,58.6%,0.70775512914149,05/28/21
UAL,United Airlines Holdings Inc,58.35,-0.78,-1.32%,1.09%,50906,29.9%,70.1%,0.42617806914327,05/28/21
CLOV,Clover Health Investments Corp,7.64,-0.19,-2.43%,23.29%,50360,8.1%,91.9%,0.087665493185892,05/28/21
JPM,JP Morgan Chase & Company,164.24,-0.10999999999999,-0.07%,1.74%,49830,43.0%,57.0%,0.75291096492771,05/28/21
PTON,Peloton Interactive Inc,110.31,-2.29,-2.03%,0.00%,49116,41.9%,58.1%,0.72203912769091,05/28/21
AHT,Ashford Hospitality Trust Inc,4.05,-0.09,-2.17%,7.84%,47461,7.3%,92.7%,0.07846300672605,05/28/21
GOLD,Barrick Gold Corp,24.08,0.22,+0.92%,0.00%,47354,25.5%,74.5%,0.34295680780466,05/28/21
M,Macy's Inc,18.28,-0.59,-3.13%,1.62%,47113,27.0%,73.0%,0.37048026296652,05/28/21
WMT,Wal-Mart Stores,142.03,0.34,+0.24%,0.00%,44152,36.2%,63.8%,0.56845470692718,05/28/21
V,Visa Inc,227.3,0.44,+0.19%,4.30%,44105,40.6%,59.4%,0.68429695257008,05/28/21
BCRX,Biocryst Pharma Inc,15.77,1.02,+6.92%,2.85%,43732,12.9%,87.1%,0.14809272531569,05/28/21
IQ,Iqiyi Inc ADR,14.26,-0.27,-1.86%,0.96%,43557,19.9%,80.1%,0.24844506864628,05/28/21
LUMN,Centurylink,13.84,-0.37,-2.60%,0.00%,43375,66.3%,33.7%,1.9688569472964,05/28/21
VZ,Verizon Communications Inc,56.49,0.2,+0.36%,0.00%,42665,34.9%,65.1%,0.53692363112392,05/28/21
TSM,Taiwan Semiconductor Manufacturing,117.36,1.59,+1.37%,0.53%,42598,28.7%,71.3%,0.4021263289556,05/28/21
PSTH,Pershing Square Tontine Holdings,25.12,0.48,+1.95%,36.18%,42061,21.4%,78.6%,0.27276303446606,05/28/21
FSLY,Fastly Inc,47.19,-1.04,-2.16%,2.39%,41991,30.1%,69.9%,0.43050350889146,05/28/21
ET,Energy Transfer LP,9.9,-0.11,-1.10%,0.00%,41987,30.1%,69.9%,0.43119610048744,05/28/21
PINS,Pinterest Inc,65.3,1,+1.56%,0.00%,41617,28.7%,71.3%,0.40332479093607,05/28/21
